User ID,Lab ID,IncDev Score,IncDev Trail,LOC Trail,Time Trail
27496988400,1.2,1,"11 (1), 11 (1), 11 (1), 11 (1), 12 (1), 15 (1), 15 (1)",11.....15,------0
27595952700,1.2,1,11 (1),11,-
